run_file,method,world,start_offset_mm,samples,run_time_s,completion_pct,line_visible_pct,roi_mean_grey,mae_mm,rmse_mm,max_abs_mm,overshoot_mm,settling_s,mean_abs_p,mean_abs_d,d_over_p_pct,cnn_latency_mean_ms,cnn_latency_p95_ms
cnnpd__robust_c0050_run_004,CNN+PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.715,7.1847,10.1296,30.0,6.3027,15.008,0.093564,0.020924,22.364,11.0432,12.7984
p__robust_c0050_run_004,P,robust_c0050,30.0,485,15.552,95.375,97.113,197.703,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0050_run_005,PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.723,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0050_run_001,CNN+PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.715,7.1847,10.1296,30.0,6.3027,15.008,0.093564,0.020924,22.364,10.6117,13.8525
p__robust_c0050_run_001,P,robust_c0050,30.0,485,15.552,95.375,97.113,197.703,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0050_run_001,PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.723,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0150_run_001,CNN+PD,robust_c0150,30.0,485,15.552,95.397,97.113,198.637,7.1568,10.1098,30.0,6.3054,15.008,0.093619,0.020853,22.274,10.9333,12.6648
p__robust_c0150_run_001,P,robust_c0150,30.0,485,15.552,95.375,97.113,198.63,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0150_run_001,PD,robust_c0150,30.0,485,15.552,95.4,97.113,198.648,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0250_run_001,CNN+PD,robust_c0250,30.0,485,15.552,95.393,97.113,199.995,7.1231,10.0842,30.0,6.319,14.976,0.093818,0.020763,22.131,10.4549,12.8907
p__robust_c0250_run_001,P,robust_c0250,30.0,485,15.552,95.375,97.113,200.002,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
